Tageszeit;VerstossID;Fahrzeug
20.12.2024 11:50;1;KA-DL-5874
04.12.2023 16:54;2;RA-FD-4213
20.12.2024 05:23;5;A-GF-2131
09.07.2024 08:34;3;KA-FG-1531
13.11.2022 23:23;2;A-AL-4531
16.05.2023 13:50;5;RA-FD-4213
01.09.2021 06:47;10;GAP-X-435
03.07.2020 09:59;9;RA-FD-4213
06.11.2022 05:54;2;GAP-F-5727
29.02.2024 04:12;7;A-GF-2131
04.02.2019 10:56;4;GAP-U-124
08.02.2018 21:32;5;KA-FG-1531
03.12.2023 01:50;10;A-AL-4531
15.03.2020 06:51;3;GAP-U-124
19.07.2024 07:21;8;GAP-FF-435
26.09.2021 13:21;6;RA-LM-4563
28.04.2023 14:21;1;GAP-U-124
21.08.2024 22:21;8;RA-LM-4563
09.03.2022 15:54;9;GAP-U-124
01.01.2023 08:51;7;RA-LM-4563
