VerstossID;Beschreibung;Strafe;Punkte;Fahrverbot
1;Verstoß gegen die 0,5 Promillegrenze beim 1. Mal;528.5;2;1
2;Verstoß gegen die 0,5 Promillegrenze beim 2. Mal;1053.5;2;3
3;Verstoß gegen die 0,5 Promillegrenze beim 3. Mal;1578.5;2;3
4;Während der Fahrt nicht angeschnallt gewesen;58.5;;0
5;Als Kraftfahrer das Handy am Steuer genutzt;128.5;1;0
6;Als Kraftfahrer das Handy am Steuer genutzt mit Gefährdung;178.5;2;0
7;Als Kraftfahrer das Handy am Steuer genutzt mit Sachbeschädigung;228.5;2;1
8;50er-Zone: Überschreitung der Höchstgeschwindigkeit außerorts bis 10 km/h;48.5;0;0
9;50er-Zone: Überschreitung der Höchstgeschwindigkeit außerorts 21 - 25 km/h;128.5;1;0
10;50er-Zone: Überschreitung der Höchstgeschwindigkeit außerorts 41 - 50 km/h;348.5;2;1
